user_id,symb_in_name,symb_in_email,time_difference,neighbour_above,neighbour_below,text_neighbour_above,text_neighbour_below,is_fake
2,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0026002004615716086,0.0,0.2843915343915344,0
3,0.3333333333333333,0.3076923076923077,0.542727548438279,0.9973997995384285,3.47493632279043e-05,0.27010804321728693,0.5452898550724637,0
4,0.14285714285714285,0.2,0.9974802117982513,0.9999652506367722,0.0028258400805714337,0.5179028132992327,0.44791666666666663,0
5,0.13333333333333333,0.19230769230769232,0.4773801658074611,0.9971741599194287,0.07627819478298328,0.4254201680672269,0.7001915708812261,0
11,0.4,0.2631578947368421,0.9073489036138207,0.9237218052170169,0.00456690300367988,0.6650246305418719,0.3096707818930041,0
12,0.3333333333333333,0.2777777777777778,0.4993780168221125,0.9954330969963202,0.0027137612965124065,0.29411764705882354,0.41805555555555557,0
13,0.2222222222222222,0.26666666666666666,0.49846560317290356,0.9972862387034876,0.000408961955375469,0.3970588235294118,0.5091702279202278,0
14,0.2222222222222222,0.20833333333333334,0.8006975919468182,0.9995910380446247,1.2402979010564752e-06,0.48359728506787325,0.5512820512820512,0
15,0.2,0.3333333333333333,0.4808200715186582,0.9999987597020991,0.0017619167454448537,0.5235940530058176,0.5512820512820512,0
17,0.18181818181818182,0.2,0.6408550138000481,0.9982380832545552,6.264555500251349e-05,0.5235940530058176,0.09290123456790124,1
18,0.18181818181818182,0.19047619047619047,0.47609188585813755,0.9999373544449975,0.023563589453238217,0.08823529411764706,0.5512820512820512,1
19,0.2222222222222222,0.18181818181818182,0.49407186923908764,0.9764364105467619,0.000927963560972635,0.5235940530058176,0.45388888888888884,0
20,0.3333333333333333,0.17857142857142858,0.516286558339885,0.9990720364390274,0.0026066437040576053,0.4310924369747899,0.760352366255144,0
21,0.14285714285714285,0.13793103448275862,0.8437738642109462,0.9973933562959425,0.00027325444520139995,0.7221638655462185,0.6843171296296297,0
22,0.2,0.22727272727272727,0.7463594847187534,0.9997267455547987,0.0034040291224469808,0.6499474789915967,0.47777777777777775,0
23,0.2222222222222222,0.25,0.4762456688507951,0.9965959708775531,0.000703259420898183,0.45378151260504196,0.6125356125356125,0
